,"ADOLFO, SP","ALVARES FLORENCE, SP","AMERICO DE CAMPOS, SP","APARECIDA D'OESTE, SP","ARIRANHA, SP","ASPASIA, SP","BADY BASSITT, SP","BALSAMO, SP","CARDOSO, SP","CATANDUVA, SP","CATIGUA, SP","CEDRAL, SP","COSMORAMA, SP","DIRCE REIS, SP","DOLCINOPOLIS, SP","ELISIARIO, SP","EMBAUBA, SP","ESTRELA D'OESTE, SP","FERNANDOPOLIS, SP","FERNANDO PRESTES, SP","FLOREAL, SP","GASTAO VIDIGAL, SP","GENERAL SALGADO, SP","GUAPIACU, SP","GUARANI D'OESTE, SP","IBIRA, SP","ICEM, SP","INDIAPORA, SP","IPIGUA, SP","IRAPUA, SP","ITAJOBI, SP","JACI, SP","JALES, SP","JOSE BONIFACIO, SP","MACAUBAL, SP","MACEDONIA, SP","MAGDA, SP","MARAPOAMA, SP","MARINOPOLIS, SP","MENDONCA, SP","MERIDIANO, SP","MESOPOLIS, SP","MIRA ESTRELA, SP","MIRASSOL, SP","MIRASSOLANDIA, SP","MONCOES, SP","MONTE APRAZIVEL, SP","NEVES PAULISTA, SP","NHANDEARA, SP","NIPOA, SP","NOVA ALIANCA, SP","NOVA CANAA PAULISTA, SP","NOVA GRANADA, SP","NOVAIS, SP","NOVO HORIZONTE, SP","ONDA VERDE, SP","ORINDIUVA, SP","OUROESTE, SP","PALESTINA, SP","PALMARES PAULISTA, SP","PALMEIRA D'OESTE, SP","PARAISO, SP","PARANAPUA, SP","PARISI, SP","PAULO DE FARIA, SP","PEDRANOPOLIS, SP","PINDORAMA, SP","PIRANGI, SP","PLANALTO, SP","POLONI, SP","PONTALINDA, SP","PONTES GESTAL, SP","POPULINA, SP","POTIRENDABA, SP","RIOLANDIA, SP","RUBINEIA, SP","SALES, SP","SANTA ADELIA, SP","SANTA ALBERTINA, SP","SANTA CLARA D'OESTE, SP","SANTA FE DO SUL, SP","SANTANA DA PONTE PENSA, SP","SANTA RITA D'OESTE, SP","SANTA SALETE, SP","SAO FRANCISCO, SP","SAO JOAO DAS DUAS PONTES, SP","SAO JOAO DE IRACEMA, SP","SAO JOSE DO RIO PRETO, SP","SEBASTIANOPOLIS DO SUL, SP","TABAPUA, SP","TANABI, SP","TRES FRONTEIRAS, SP","TURMALINA, SP","UBARANA, SP","UCHOA, SP","UNIAO PAULISTA, SP","URANIA, SP","URUPES, SP","VALENTIM GENTIL, SP","VITORIA BRASIL, SP","VOTUPORANGA, SP","ZACARIAS, SP"
"PLANALTO, SP","36,9939","79,03896","83,88733","118,4399","119,4273","127,761","51,19931","49,09179","105,6039","100,0491","90,48887","69,99192","63,305","94,53445","117,8759","86,17928","113,5592","96,24123","89,71783","131,4223","45,58364","37,98459","62,02343","77,71236","114,5922","71,47373","108,1144","122,6503","70,0188","60,26248","95,32222","40,68789","106,7634","456,1142","25,42428","102,2234","53,12818","86,38038","113,9926","39,89111","79,41611","138,4605","118,6546","50,10424","67,11925","26,86038","37,7623","37,07029","39,40283","20,53805","44,7652","128,1265","84,19814","105,0412","87,47781","81,12004","111,9234","123,4216","88,14752","117,0223","110,5235","119,7934","123,7747","81,33747","124,1291","88,95767","192,7102","131,4519",,"30,1394","90,33639","97,08206","136,5153","57,34973","119,4185","146,9191","56,02553","118,8409","138,7626","147,1992","138,3866","125,1409","136,2589","117,9622","109,4099","85,58076","72,63692","62,05244","41,63839","93,3788","53,65032","133,7844","122,7394","26,2458","79,24833","16,49963","114,9973","68,66797","69,68013","109,2596","67,57005","12,95463"
"POLONI, SP","53,09678","52,19488","54,34838","117,0896","115,5198","117,6662","40,61324","24,99533","78,53897","95,89267","84,06279","58,23735","33,82566","89,64452","103,237","84,6257","104,0536","82,09798","71,67386","128,8092","36,41326","39,14761","58,78554","61,40116","95,68851","68,07007","80,92875","101,8668","46,61364","69,13806","97,92158","27,73071","95,57512","465,0698","15,81786","80,97372","45,5152","88,31922","111,6972","50,64485","60,37963","123,4366","95,04513","32,1932","41,18138","30,34148","11,29627","19,77684","25,49695","14,75576","41,83777","126,0289","58,61141","96,10879","97,49932","57,5798","82,35792","104,4144","59,16037","110,3679","106,7665","111,0991","110,1979","57,0092","94,05973","66,71113","202,0069","124,5163","30,1394",,"83,0472","67,4811","119,8083","54,03997","89,95867","140,9311","69,9334","116,5711","126,48","138,8644","132,2243","118,0548","127,5043","108,9239","103,1761","73,3267","63,51552","45,35413","17,87546","83,78093","24,42016","127,6112","106,3341","43,30151","69,49966","14,44973","105,1672","71,46088","48,96115","95,33461","42,92436","38,60016"
"PONTALINDA, SP","126,9749","65,56621","83,72302","37,30168","198,4401","37,73384","123,5321","103,5257","75,14105","178,873","166,8424","140,2792","77,88718","9,090383","35,1812","167,6088","185,5761","21,52149","33,49126","211,8125","47,28575","52,41716","28,61408","140,9284","45,01315","151,0947","138,8978","56,48867","120,8039","148,4639","180,3179","110,743","19,3983","545,7125","70,97077","47,47861","38,353","170,7815","31,22702","128,2049","37,85038","53,4685","65,0164","113,6861","112,2909","63,51153","92,09916","102,6812","57,65333","93,51696","124,3748","44,71184","126,1182","178,0291","176,6394","129,4391","125,7819","51,09925","114,061","192,7927","25,04328","192,825","37,90654","55,34967","125,9258","48,08233","282,1554","206,6944","90,33639","83,0472",,"90,29424","55,14325","136,9383","101,6644","57,94731","145,9311","199,6106","49,99548","56,96897","49,24321","35,27409","45,93069","27,69434","20,13231","16,19528","19,56689","126,0553","67,10062","165,74","93,15936","44,61516","43,19764","116,0275","151,7851","81,79003","25,15937","153,4448","45,68862","27,18577","57,57921","83,68378"
"PONTES GESTAL, SP","116,6668","26,2906","13,19742","126,4855","146,2651","107,1557","85,44237","62,32643","24,81426","129,8941","117,096","91,57338","33,77939","99,38462","84,95677","125,1925","126,3435","73,55593","58,19651","159,8826","71,5198","84,75454","85,83122","84,2249","67,47773","110,4223","55,68483","65,42831","61,91917","125,1031","141,8226","78,83204","88,9012","504,1751","74,26275","51,47582","74,73449","132,9954","120,3582","111,524","52,58289","98,77035","50,61264","72,75792","53,94446","84,58695","64,12877","73,36719","66,63647","81,12984","94,67005","131,9952","55,88234","121,4232","150,6797","63,36752","36,82554","72,96163","36,35965","136,9707","113,5912","133,5478","92,71506","35,07654","35,99497","43,16364","247,0693","148,0927","97,08206","67,4811","90,29424",,"91,2299","101,3584","22,52178","135,5191","129,9939","150,0048","108,4543","128,2795","127,9573","114,639","118,0604","103,2501","105,6188","74,12454","77,03233","77,37084","57,35294","111,1938","49,20383","124,2201","82,12679","108,5545","101,4891","80,61455","98,67041","120,7035","47,97845","81,71468","38,8091","102,8327"
"POPULINA, SP","170,7533","77,91804","92,58912","66,63586","228,3726","31,21222","156,4823","132,8779","66,9798","209,8488","197,022","169,677","99,15455","58,41605","20,11734","201,2341","211,4","40,67674","48,1358","242,1709","90,97054","101,1174","80,30799","166,415","25,40284","184,7508","146,9019","26,1524","143,7479","188,9266","216,1173","145,0451","35,93461","583,7581","112,8224","42,35169","84,2085","206,5449","62,69447","169,889","59,44501","8,943098","42,12129","144,4439","134,6535","110,5254","125,3758","137,0695","98,04783","133,3755","160,8733","65,31463","143,1932","205,088","217,3074","149,1578","126,9024","18,31474","125,6713","220,6735","57,50299","218,7994","18,49413","67,80458","119,426","56,08222","321,4339","233,3465","136,5153","119,8083","55,14325","91,2299",,"171,9511","89,68394","54,60277","188,8876","230,8647","22,27147","44,01645","50,41329","43,94194","38,06951","37,04565","49,14668","51,97845","66,05798","154,4607","101,933","193,4736","119,4107","49,05985","13,77588","159,9781","181,0478","124,0509","35,25279","190,5477","71,03116","28,77026","79,65097","132,8863"
"POTIRENDABA, SP","34,84392","97,55039","90,8028","169,9746","62,89054","171,6468","16,16415","40,48515","120,6609","43,22419","33,13983","19,32663","75,29557","143,2097","156,4423","30,70548","56,50498","135,6905","124,1805","75,63697","89,83906","89,09182","111,4498","31,75618","147,0565","14,50376","80,20275","151,6585","43,02418","26,08128","44,21817","26,96952","149,5279","411,8723","66,63651","131,1216","98,93684","34,61846","164,8212","25,9971","112,8133","176,2812","142,0953","29,02424","48,55419","78,01003","46,65622","35,06901","79,28598","44,36535","13,03119","179,189","56,91799","47,9417","49,32539","49,29638","95,67029","155,4976","72,8996","59,71656","160,221","62,52011","163,6375","105,5838","112,5243","116,7079","149,718","74,1571","57,34973","54,03997","136,9383","101,3584","171,9511",,"122,0933","194,8745","35,19071","63,1726","180,112","192,9021","186,1675","172,0453","181,5389","162,9626","157,0411","127,2887","117,4639","25,81654","71,22074","36,81615","54,6725","181,5455","158,8262","37,67117","23,7893","57,02732","159,1878","19,47091","101,0895","148,8284","92,53602","70,13329"
"RIOLANDIA, SP","138,9663","44,4657","35,6111","135,668","162,672","111,237","106,4617","84,07092","26,70794","147,4923","134,9646","110,727","56,18175","110,5829","88,43092","144,1804","141,5403","82,24519","68,19194","176,0031","91,007","104,7027","102,475","102,0832","69,45655","130,1612","64,46089","63,75595","80,8998","146,4859","161,0112","100,6872","96,11608","519,7242","96,13497","56,61539","92,90724","152,5099","129,6896","133,6062","65,94135","98,14821","47,66647","94,01334","73,78611","105,6557","86,58034","95,55582","87,43107","103,6515","116,2169","139,8356","72,05785","137,5198","171,348","80,21417","41,11929","72,47705","52,18899","152,7424","122,8274","148,4828","95,58836","49,84572","29,95283","53,78244","265,2173","162,7781","119,4185","89,95867","101,6644","22,52178","89,68394","122,0933",,"139,4811","151,8494","166,9008","109,6466","130,8489","132,7326","120,5743","121,6898","109,345","114,1333","85,69191","91,6114","97,2839","79,10167","128,2121","71,38659","129,5167","83,55627","131,0041","119,871","102,9275","104,9102","141,2181","64,65235","87,38689","57,81231","124,7381"
"RUBINEIA, SP","183,8665","115,1773","132,7821","33,17711","256,1489","28,42784","181,3094","160,6098","113,9618","236,6417","224,4908","197,6964","132,031","52,44469","51,12764","225,5326","242,6053","64,05555","79,27138","269,5904","105,2024","109,039","85,04766","197,5881","70,02672","208,999","189,2459","77,12715","176,5638","205,9977","238,2439","168,5819","48,22758","602,9785","128,835","84,27447","96,20338","228,7161","35,03967","185,6309","88,73724","45,85086","92,68314","171,1256","167,7374","120,4355","149,7066","160,4894","115,5894","151,406","182,3219","24,44506","180,0357","235,2552","233,9924","184,3336","172,3435","68,13032","165,5041","250,2154","36,74867","249,9169","43,91122","104,0564","168,0357","93,33293","339,4704","263,9642","146,9191","140,9311","57,94731","135,5191","54,60277","194,8745","139,4811",,"202,8953","257,4434","32,34068","11,53191","8,707305","23,00234","17,79547","33,46003","37,91705","69,10738","77,42013","183,1951","124,6029","223,0247","149,3455","13,33239","56,27366","172,9904","209,2456","139,5173","37,9085","211,3439","99,36189","53,88243","110,931","138,8164"
"SALES, SP","19,03411","120,804","118,0971","174,3443","75,60169","182,9868","47,20248","67,77851","146,1601","59,54318","56,18462","54,15713","99,69948","150,4723","171,3057","44,74277","79,50712","149,7151","140,8955","84,724","99,64111","93,86508","117,8941","66,76556","165,3198","39,30937","115,1686","171,788","76,67702","11,60827","45,79346","51,17712","161,5204","400,099","76,4101","150,8954","107,9913","39,35518","169,9828","19,32045","129,786","191,8168","164,6693","58,42951","80,59522","82,51955","67,70994","57,00519","91,09643","55,67176","36,0345","184,0704","91,34548","71,5801","31,85519","84,08403","129,3502","174,1034","105,6907","77,66437","166,5474","83,37849","177,7453","126,7391","145,6548","136,644","136,6907","90,79944","56,02553","69,9334","145,9311","129,9939","188,8876","35,19071","151,8494","202,8953",,"72,81232","193,3479","202,8938","194,3367","180,9575","191,8376","173,3948","165,275","139,7204","127,5873","59,89796","87,54075","63,96612","80,90675","189,7249","175,2273","29,92162","55,10509","65,13829","170,2183","26,49549","118,651","162,9636","112,7391","65,6249"
"SANTA ADELIA, SP","86,99601","153,6586","142,5302","233,1129","6,426683","233,393","76,15299","98,29456","172,9163","21,04502","33,84998","61,18904","131,8044","206,1399","216,8286","32,7605","29,11827","196,7978","184,1781","12,58187","152,7692","152,2319","174,5781","65,91792","205,5329","48,72656","107,8394","208,5538","88,73072","62,81906","27,39266","88,8697","211,2552","354,4814","129,768","188,8822","161,886","33,80378","227,9155","80,51411","172,9586","236,0106","196,9299","87,01811","97,51401","141,0778","107,8929","96,95401","142,0339","107,5337","76,14585","242,281","94,87643","29,9657","49,90222","86,87721","130,487","213,5341","114,8201","17,48782","223,2105","25,36883","224,3041","163,1636","147,9338","174,8112","99,36395","21,83435","118,8409","116,5711","199,6106","150,0048","230,8647","63,1726","166,9008","257,4434","72,81232",,"241,0027","254,9482","248,7403","234,5148","243,5605","225,0786","219,742","189,1362","180,0628","76,40498","132,9924","38,82293","111,4639","244,1369","218,3041","94,9588","49,86002","120,169","221,1477","50,65931","161,2627","209,6855","151,4187","131,0624"
