,"ADOLFO, SP","ALVARES FLORENCE, SP","AMERICO DE CAMPOS, SP","APARECIDA D'OESTE, SP","ARIRANHA, SP","ASPASIA, SP","BADY BASSITT, SP","BALSAMO, SP","CARDOSO, SP","CATANDUVA, SP","CATIGUA, SP","CEDRAL, SP","COSMORAMA, SP","DIRCE REIS, SP","DOLCINOPOLIS, SP","ELISIARIO, SP","EMBAUBA, SP","ESTRELA D'OESTE, SP","FERNANDOPOLIS, SP","FERNANDO PRESTES, SP","FLOREAL, SP","GASTAO VIDIGAL, SP","GENERAL SALGADO, SP","GUAPIACU, SP","GUARANI D'OESTE, SP","IBIRA, SP","ICEM, SP","INDIAPORA, SP","IPIGUA, SP","IRAPUA, SP","ITAJOBI, SP","JACI, SP","JALES, SP","JOSE BONIFACIO, SP","MACAUBAL, SP","MACEDONIA, SP","MAGDA, SP","MARAPOAMA, SP","MARINOPOLIS, SP","MENDONCA, SP","MERIDIANO, SP","MESOPOLIS, SP","MIRA ESTRELA, SP","MIRASSOL, SP","MIRASSOLANDIA, SP","MONCOES, SP","MONTE APRAZIVEL, SP","NEVES PAULISTA, SP","NHANDEARA, SP","NIPOA, SP","NOVA ALIANCA, SP","NOVA CANAA PAULISTA, SP","NOVA GRANADA, SP","NOVAIS, SP","NOVO HORIZONTE, SP","ONDA VERDE, SP","ORINDIUVA, SP","OUROESTE, SP","PALESTINA, SP","PALMARES PAULISTA, SP","PALMEIRA D'OESTE, SP","PARAISO, SP","PARANAPUA, SP","PARISI, SP","PAULO DE FARIA, SP","PEDRANOPOLIS, SP","PINDORAMA, SP","PIRANGI, SP","PLANALTO, SP","POLONI, SP","PONTALINDA, SP","PONTES GESTAL, SP","POPULINA, SP","POTIRENDABA, SP","RIOLANDIA, SP","RUBINEIA, SP","SALES, SP","SANTA ADELIA, SP","SANTA ALBERTINA, SP","SANTA CLARA D'OESTE, SP","SANTA FE DO SUL, SP","SANTANA DA PONTE PENSA, SP","SANTA RITA D'OESTE, SP","SANTA SALETE, SP","SAO FRANCISCO, SP","SAO JOAO DAS DUAS PONTES, SP","SAO JOAO DE IRACEMA, SP","SAO JOSE DO RIO PRETO, SP","SEBASTIANOPOLIS DO SUL, SP","TABAPUA, SP","TANABI, SP","TRES FRONTEIRAS, SP","TURMALINA, SP","UBARANA, SP","UCHOA, SP","UNIAO PAULISTA, SP","URANIA, SP","URUPES, SP","VALENTIM GENTIL, SP","VITORIA BRASIL, SP","VOTUPORANGA, SP","ZACARIAS, SP"
"SANTA ALBERTINA, SP","174,6499","91,39287","107,7982","48,90402","239,0162","14,09413","165,3317","142,7563","85,30423","219,971","207,3627","180,0648","110,9076","49,70364","24,58876","210,2208","223,4538","44,42389","57,11369","252,7217","93,72784","101,409","78,27256","178,1809","41,04253","193,5987","163,6121","46,11549","156,0628","194,699","224,2586","153,1901","32,00742","591,531","117,0431","57,22794","85,65775","214,6457","46,2975","174,9062","68,13082","13,53525","62,1048","153,9895","147,0005","111,9791","133,5993","145,0572","102,5629","138,9045","168,2775","45,53932","157,3457","216,6556","223,1273","162,5951","144,9506","37,22026","141,069","232,0464","42,71441","230,8496","16,80421","80,4918","138,942","68,88897","328,2846","245,2423","138,7626","126,48","49,99548","108,4543","22,27147","180,112","109,6466","32,34068","193,3479","241,0027",,"21,85819","28,69774","25,63803","16,5265","23,90972","36,46879","53,65474","66,13059","165,0329","108,9234","204,705","130,1129","28,09761","26,41328","163,7036","191,6015","128,2742","25,02852","197,9398","79,7674","31,33312","90,16621","133,1456"
"SANTA CLARA D'OESTE, SP","183,9259","109,2957","126,47","39,68919","253,3783","21,99256","178,8298","157,329","105,8978","234,0222","221,6685","194,6166","127,3269","53,09393","43,32357","223,4221","239,0033","59,12339","73,71097","266,9434","103,9572","109,22","85,20966","193,7983","61,58464","206,8179","182,7783","67,69635","172,2766","205,3602","236,6682","166,284","43,84198","602,6424","127,6804","76,80555","95,1867","227,0891","39,90544","185,1445","83,89793","35,12526","83,54719","168,1631","163,3284","120,4269","147,0561","158,1444","113,877","150,1229","180,585","32,55647","174,8464","231,8651","233,5817","179,5551","165,0208","58,72626","159,5279","247,0221","39,65504","246,3599","35,62698","98,1952","159,8425","87,02879","339,09","260,5667","147,1992","138,8644","56,96897","128,2795","44,01645","192,9021","130,8489","11,53191","202,8938","254,9482","21,85819",,"12,92293","22,29353","11,38844","29,94193","38,04438","65,81675","75,82148","179,8668","121,9718","219,7256","145,4761","15,99598","47,2928","172,984","206,1878","138,6337","33,80355","209,9314","95,02835","47,58256","106,2419","139,9348"
"SANTA FE DO SUL, SP","175,3126","107,1028","124,8311","26,91673","247,4551","21,56802","172,6088","151,9616","106,8965","227,9428","215,8013","189,0251","123,6148","43,86457","44,33189","216,8253","233,975","55,84299","71,18285","260,8913","96,50549","100,472","76,45794","188,987","63,43018","200,2919","181,2977","71,28314","168,0421","197,3629","229,5473","159,8773","39,9733","594,4","120,1472","76,97703","87,51417","220,0172","27,7168","177,0085","80,41364","42,07087","86,47622","162,4498","159,2406","111,8496","141,0159","151,7864","106,8827","142,7154","173,618","19,67769","171,6994","226,6048","225,3859","175,9018","164,7746","62,34137","157,4016","241,5472","28,5972","241,281","37,5939","95,9966","160,9499","85,46146","330,8769","255,3116","138,3866","132,2243","49,24321","127,9573","50,41329","186,1675","132,7326","8,707305","194,3367","248,7403","28,69774","12,92293",,"14,37459","12,34387","25,17507","29,236","60,52834","68,71289","174,5465","115,9159","214,3676","140,77","4,636581","50,25543","164,4243","200,5714","130,849","29,70515","202,6528","90,90549","46,24575","102,5337","130,4343"
"SANTANA DA PONTE PENSA, SP","161,96","93,15375","111,0117","23,31931","233,1806","12,7641","158,369","137,608","94,35226","213,6907","201,5135","174,6982","109,3164","30,82027","33,08071","202,6772","219,6102","41,82398","57,28039","246,6395","82,54582","87,15869","63,11761","174,6134","52,0405","186,1232","167,4431","61,08347","153,6806","183,6947","215,548","145,6695","25,98172","580,8919","106,2427","64,23352","73,62677","206,0003","20,80966","163,3993","66,21529","36,96088","75,44234","148,1309","144,8898","98,44144","126,7341","137,5653","92,78611","128,7805","159,555","21,5341","157,4548","212,2533","211,821","161,5863","151,3986","52,43487","143,3859","227,2154","18,35992","226,9192","27,73058","82,07961","148,2373","71,81309","317,3378","240,962","125,1409","118,0548","35,27409","114,639","43,94194","172,0453","120,5743","23,00234","180,9575","234,5148","25,63803","22,29353","14,37459",,"12,64536","11,39247","15,78225","46,1552","54,59147","160,1933","101,6242","200,0224","126,3959","9,962893","40,30623","151,0364","186,2492","117,0544","15,96864","188,6983","76,58609","33,27651","88,25524","117,6878"
"SANTA RITA D'OESTE, SP","172,8954","98,41295","115,7729","34,15373","241,9909","10,97929","167,4442","145,9538","96,23852","222,6337","210,2815","183,2355","116,1231","42,68746","33,38819","212,0476","227,6609","47,88973","62,67243","255,555","92,71974","98,31007","74,36378","182,4701","52,23383","195,4412","172,1772","59,46633","161,0126","194,1659","225,3326","154,9055","32,48509","591,4572","116,4353","66,68733","84,00467","215,7498","32,78579","173,9881","72,68707","29,76564","74,92651","156,777","152,0826","109,4419","135,6688","146,7648","102,5622","138,8444","169,2428","29,46614","163,7797","220,5041","222,4226","168,388","154,8679","50,48121","148,7121","235,6493","30,9789","235,0139","26,11596","87,29386","150,3029","76,28959","327,9159","249,2082","136,2589","127,5043","45,93069","118,0604","38,06951","181,5389","121,6898","17,79547","191,8376","243,5605","16,5265","11,38844","12,34387","12,64536",,"18,60682","27,73611","54,42831","64,56961","168,4969","110,5865","208,3574","134,147","11,66238","38,53452","161,9441","194,8065","127,4277","22,41513","198,6177","83,73692","36,74198","95,02166","129,276"
"SANTA SALETE, SP","154,4824","81,94943","99,73701","30,24489","223,5731","10,30603","148,9413","127,6649","83,04341","204,1753","191,8708","164,8927","98,57912","25,96885","22,80381","193,4936","209,5204","30,66797","46,03756","237,1088","74,14175","80,09056","56,29734","164,4031","41,31065","176,8941","156,1906","50,94545","143,1995","175,6057","206,7317","136,3657","14,79913","572,8949","97,84944","52,90739","65,47468","197,1507","25,77632","155,4579","55,28201","31,73538","64,73681","138,3889","134,3411","91,11201","117,189","128,2298","83,95546","120,2426","150,6452","31,30692","146,581","202,2782","203,8859","150,885","140,0162","42,61126","132,2343","217,3563","20,48165","216,856","19,03892","70,85262","136,8798","60,46746","309,3641","230,9902","117,9622","108,9239","27,69434","103,2501","37,04565","162,9626","109,345","33,46003","173,3948","225,0786","23,90972","29,94193","25,17507","11,39247","18,60682",,"12,78562","36,03113","45,98948","150,2344","92,0868","190,0955","116,1039","21,09518","30,76627","143,5246","176,4602","108,8656","4,584957","180,0111","65,94196","21,96865","77,47484","111,3547"
"SAO FRANCISCO, SP","146,2661","82,40958","100,5577","21,62879","218,5681","22,46778","143,6632","123,5062","87,46199","199,0046","186,9628","160,3559","96,75924","15,04982","32,51993","187,7201","205,5719","32,18963","47,42246","231,9446","67,2989","71,43714","47,39295","160,8088","49,11157","171,2154","156,582","59,77152","140,3843","168,1593","200,3355","130,875","18,53281","565,275","90,91823","57,66431","58,28773","190,8133","15,89525","147,8247","54,71686","44,38901","72,05215","133,7619","131,7521","82,75645","112,2048","122,8133","77,76426","113,4905","144,4452","26,42881","145,0678","198,0704","196,2245","148,7385","141,9697","52,15286","132,0553","212,8776","9,261905","212,8376","30,71889","71,59885","140,394","62,46805","301,732","226,7496","109,4099","103,1761","20,13231","105,6188","49,14668","157,0411","114,1333","37,91705","165,275","219,742","36,46879","38,04438","29,236","15,78225","27,73611","12,78562",,"33,31001","39,69411","146,0619","87,17323","185,7924","112,8436","24,59943","41,08474","135,3538","171,8726","101,6147","13,91897","173,4285","64,09314","28,52081","75,97466","101,9069"
"SAO JOAO DAS DUAS PONTES, SP","121,0787","49,66938","67,86096","52,84133","187,5706","44,35907","113,036","91,63809","59,30921","168,2055","155,8634","128,8627","63,50791","25,27812","32,49977","157,7109","173,5416","11,45242","17,79426","201,1274","40,1853","49,22893","28,95585","128,484","35,03042","141,0919","123,4877","46,05271","107,5518","141,083","171,2479","100,5526","22,24843","538,1079","63,38842","33,06921","32,57559","161,6459","46,70236","121,2522","21,8455","52,99746","51,69005","102,369","98,80044","59,06608","81,24857","92,40538","48,94727","85,33397","115,1559","59,42834","111,8023","166,2629","169,499","115,6294","109,7769","42,78763","98,83652","181,3261","40,13701","180,8674","38,20121","39,25519","109,7306","31,97714","274,7437","194,9757","85,58076","73,3267","16,19528","74,12454","51,97845","127,2887","85,69191","69,10738","139,7204","189,1362","53,65474","65,81675","60,52834","46,1552","54,42831","36,03113","33,31001",,"14,17397","114,212","56,1894","154,0709","80,24261","56,07463","38,43397","110,1483","140,4308","74,62296","32,01336","144,7008","30,79358","23,7616","42,66532","81,09347"
"SAO JOAO DE IRACEMA, SP","108,7544","51,02968","68,62617","55,5607","178,8743","55,40783","103,9701","84,0848","66,30715","159,3119","147,2758","120,7378","60,02848","26,97117","46,35923","148,1134","166,0989","25,62583","27,70916","192,2536","28,15236","35,50872","15,01253","121,575","48,69932","131,5799","122,0857","59,38018","101,8049","129,62","160,98","91,19317","34,12695","526,9066","51,86593","43,98502","19,60552","151,4237","49,70744","109,5031","25,72298","66,67088","63,14501","94,14795","93,45158","45,85297","72,53993","83,123","38,19465","74,30809","104,9654","63,69553","107,8572","158,5134","157,9185","110,7538","110,8501","56,7333","97,03329","173,2433","44,05073","173,3324","51,51942","42,30788","113,027","38,67761","263,3813","187,166","72,63692","63,51552","19,56689","77,03233","66,05798","117,4639","91,6114","77,42013","127,5873","180,0628","66,13059","75,82148","68,71289","54,59147","64,56961","45,98948","39,69411","14,17397",,"106,5788","47,57669","146,2161","74,08914","64,09699","52,57958","97,79325","132,2352","62,88151","42,64824","134,1688","29,56185","37,56241","40,88741","67,40415"
"SAO JOSE DO RIO PRETO, SP","54,27699","77,45588","67,92383","161,4566","74,04622","158,0692","13,82415","22,5853","98,33437","55,4028","42,56187","15,23125","55,43798","133,3806","140,701","48,23771","59,52176","121,1252","108,016","87,80673","81,09417","84,38149","103,7102","16,23574","129,1292","33,05151","55,56625","132,3516","17,21283","51,75471","64,59481","21,37582","136,0271","430,2121","60,84221","112,5099","90,02837","55,64092","155,8634","46,00506","96,90225","159,6768","121,3175","13,2246","23,52767","74,76273","34,63938","26,79109","69,98682","42,94699","25,67039","170,0763","31,44757","52,06069","74,31529","24,42005","69,88678","137,1592","47,16575","67,16062","150,542","66,77566","148,2711","86,77502","86,70848","98,40773","170,3783","80,77192","62,05244","45,35413","126,0553","77,37084","154,4607","25,81654","97,2839","183,1951","59,89796","76,40498","165,0329","179,8668","174,5465","160,1933","168,4969","150,2344","146,0619","114,212","106,5788",,"59,03081","39,86285","35,08195","170,0108","141,9498","52,29698","26,62147","54,57651","146,1233","44,15578","85,29447","133,7958","75,10663","74,67651"
"SEBASTIANOPOLIS DO SUL, SP","70,20223","37,40755","44,34366","102,5216","131,5605","100,527","56,85821","36,6304","63,96555","112,1056","99,8894","73,18306","24,82048","74,35084","85,48088","101,5386","118,5392","64,50104","53,79889","145,0489","23,2915","31,78335","45,64522","74,25114","77,86985","84,91436","83,44266","84,30297","55,72813","87,00815","115,336","44,38354","78,38651","482,7364","17,0643","63,4251","31,63222","105,7232","96,87357","68,31687","42,50659","105,612","78,26666","46,58899","48,19097","28,04081","25,11675","36,23417","12,90045","31,90357","59,39388","111,0577","64,45702","110,9369","115,3748","65,67482","79,65127","86,61898","59,21774","125,7048","91,51122","125,7615","92,53146","40,34115","88,46102","49,31871","219,7949","139,5946","41,63839","17,87546","67,10062","57,35294","101,933","71,22074","79,10167","124,6029","87,54075","132,9924","108,9234","121,9718","115,9159","101,6242","110,5865","92,0868","87,17323","56,1894","47,57669","59,03081",,"98,64175","28,46941","111,3394","88,46698","59,94463","84,70145","25,55029","88,1818","89,09943","31,14358","77,68714","26,286","45,64796"
"TABAPUA, SP","70,20383","115,7962","103,9511","200,7377","35,2508","197,9146","43,84305","62,43366","134,2553","19,71137","9,679905","25,5622","94,34668","172,8984","180,2922","23,83583","20,44739","160,9318","147,6179","49,02356","120,1","121,8908","142,5644","27,32378","168,0773","25,29631","71,113","170,557","50,24179","52,39208","38,56731","56,64847","175,8846","393,136","98,49191","151,2547","129,1485","33,96965","195,2413","61,68794","136,5931","198,9909","158,5251","52,08457","59,18574","111,4386","73,78636","64,12016","109,0473","77,79876","48,67162","209,516","56,15431","12,3319","59,05258","48,07981","92,7853","175,8731","76,06642","27,34342","190,0663","27,32751","187,9203","125,6695","110,3785","137,4098","137,2717","40,95738","93,3788","83,78093","165,74","111,1938","193,4736","36,81615","128,2121","223,0247","63,96612","38,82293","204,705","219,7256","214,3676","200,0224","208,3574","190,0955","185,7924","154,0709","146,2161","39,86285","98,64175",,"74,59265","209,8225","181,2343","74,37335","14,43796","90,42716","185,986","37,65195","125,0451","173,5273","114,6019","106,3001"
"TANABI, SP","67,59664","43,05385","37,21233","129,6186","109,113","123,5706","38,53499","14,18735","66,21898","90,4402","77,63409","50,27582","20,76288","101,0548","105,709","82,28071","93,54658","86,47897","73,02885","122,8831","51,7512","59,2139","73,91957","48,32318","94,10981","66,09976","56,91765","97,70476","27,72898","76,65436","97,88862","29,91763","101,6703","464,8564","38,315","77,59752","59,87258","88,49893","123,7954","62,32245","62,01383","124,5966","87,50046","25,77629","19,7514","52,70888","16,32507","24,17568","41,213","34,47283","46,17945","137,7428","36,16799","86,56875","103,3436","37,2533","58,27348","102,2235","34,75585","101,9335","118,064","100,917","113,3277","51,84629","70,9973","63,40006","203,9063","115,2113","53,65032","24,42016","93,15936","49,20383","119,4107","54,6725","71,38659","149,3455","80,90675","111,4639","130,1129","145,4761","140,77","126,3959","134,147","116,1039","112,8436","80,24261","74,08914","35,08195","28,46941","74,59265",,"136,3028","106,8679","60,0117","61,70111","38,80191","111,8775","74,09164","50,5302","98,9599","40,04739","62,97357"
"TRES FRONTEIRAS, SP","170,7024","103,0252","120,8319","23,87413","242,8674","18,89991","168,0108","147,4272","103,5032","223,3475","211,2195","184,4654","119,2789","39,25392","41,31466","212,2065","229,4552","51,70935","67,12382","256,2954","91,87209","95,85981","71,83978","184,4947","60,44168","195,6769","177,2832","68,75508","163,6174","192,7311","224,9139","155,2713","35,84218","589,7808","115,5114","73,47398","82,87853","215,3849","23,92864","172,3793","76,16574","41,07549","83,66972","157,8856","154,8365","107,231","136,4337","147,1838","102,2598","138,0802","168,9896","17,96468","167,4156","222,066","220,7602","171,5463","161,0157","59,88958","153,2867","236,9901","24,24377","236,7559","34,9914","91,93621","157,5029","81,54525","326,2541","250,7703","133,7844","127,6112","44,61516","124,2201","49,05985","181,5455","129,5167","13,33239","189,7249","244,1369","28,09761","15,99598","4,636581","9,962893","11,66238","21,09518","24,59943","56,07463","64,09699","170,0108","111,3394","209,8225","136,3028",,"47,73059","159,8106","196,0083","126,2127","25,67018","198,0177","86,5465","42,59238","98,218","125,8897"
"TURMALINA, SP","157,0417","66,3253","82,02601","60,95663","215,9674","28,83671","143,4942","120,1178","58,90089","197,2663","184,4936","157,131","86,91416","47,73161","8,659837","188,3321","199,4825","27,04352","34,71123","229,746","77,19675","87,4496","67,04819","154,3365","14,65315","171,7981","137,4543","21,03775","131,8478","175,4077","203,0298","131,8798","24,89915","570,6953","99,09081","31,25382","70,49345","193,441","56,15355","156,2691","46,07608","17,76118","36,41245","131,6142","122,7485","96,77276","112,1906","123,8581","84,31655","119,7752","147,5837","61,64345","132,1428","192,9807","203,8127","137,7611","118,5528","12,17314","115,3027","208,5096","50,13721","206,8867","12,74192","55,77625","112,649","44,00111","308,1434","221,3855","122,7394","106,3341","43,19764","82,12679","13,77588","158,8262","83,55627","56,27366","175,2273","218,3041","26,41328","47,2928","50,25543","40,30623","38,53452","30,76627","41,08474","38,43397","52,57958","141,9498","88,46698","181,2343","106,8679","47,73059",,"146,251","168,5684","110,3296","27,57563","177,287","57,75635","16,05648","66,89245","119,1747"
"UBARANA, SP","10,96196","95,46744","95,8202","144,6855","96,2359","153,1643","38,7258","49,6016","121,6851","77,50715","69,62236","54,69643","75,9582","120,5599","142,0027","62,9041","93,57015","120,3593","112,2663","107,471","69,98213","63,953","87,97575","65,29259","136,9487","50,10917","105,9262","144,04","65,67785","34,29832","70,16898","34,4369","131,8053","429,9909","47,16109","123,222","78,18791","61,64823","140,227","14,47457","101,371","162,5669","138,1158","44,40918","66,2828","52,59799","44,42684","36,5004","61,9346","28,54921","27,97447","154,3709","81,05321","85,01932","61,23228","75,65006","115,1938","145,7782","90,72099","95,25501","136,6921","99,10489","148,2767","100,0877","129,84","109,2384","166,5256","109,4865","26,2458","43,30151","116,0275","108,5545","159,9781","37,67117","131,0041","172,9904","29,92162","94,9588","163,7036","172,984","164,4243","151,0364","161,9441","143,5246","135,3538","110,1483","97,79325","52,29698","59,94463","74,37335","60,0117","159,8106","146,251",,"61,38746","35,9306","140,3923","44,29989","90,62098","133,5596","85,97023","36,8936"
"UCHOA, SP","58,36936","103,8118","93,18634","186,5432","47,43168","184,4555","29,40675","48,90671","123,6595","28,95243","16,02644","11,57152","81,95021","158,8223","167,3001","24,74471","34,88477","147,6008","134,6178","61,18553","105,8722","107,4698","128,2807","18,00544","155,6989","16,22323","67,56552","158,7148","39,59464","43,99507","41,6385","42,23573","162,3702","404,0583","84,09562","139,0257","114,943","34,1723","181,0868","49,59801","123,4775","186,2975","147,2846","38,12299","48,04512","97,00086","59,70933","49,78475","94,84898","63,37049","34,74283","195,3843","48,6071","26,68303","57,42692","40,20425","87,18834","163,6774","67,86937","41,00805","175,986","41,71426","174,8516","113,3146","104,7703","124,9783","145,6057","55,0318","79,24833","69,49966","151,7851","101,4891","181,0478","23,7893","119,871","209,2456","55,10509","49,86002","191,6015","206,1878","200,5714","186,2492","194,8065","176,4602","171,8726","140,4308","132,2352","26,62147","84,70145","14,43796","61,70111","196,0083","168,5684","61,38746",,"75,99073","172,4062","30,55859","111,8409","160,3383","101,7273","92,1931"
"UNIAO PAULISTA, SP","46,71959","62,81133","67,41753","113,2492","119,8701","118,2312","46,61237","37,20237","89,39848","100,1668","89,24114","65,43421","46,84812","87,24806","106,1966","87,52381","110,8745","84,58621","76,36899","132,6574","34,74293","32,06544","54,91686","70,79885","101,1069","71,5248","94,91407","108,4803","58,97305","66,74015","99,03863","34,09121","96,54993","464,0308","11,27641","87,77192","43,4549","89,61954","108,2635","46,672","65,56178","126,7341","103,4647","41,52574","54,53965","21,09187","24,14057","27,8061","26,02336","12,73634","44,02473","122,614","71,97151","102,5932","95,04882","70,12075","96,80587","109,9443","73,55774","115,9418","103,9995","117,6099","112,6073","65,74219","108,3352","74,06594","200,4999","130,3238","16,49963","14,44973","81,79003","80,61455","124,0509","57,02732","102,9275","139,5173","65,13829","120,169","128,2742","138,6337","130,849","117,0544","127,4277","108,8656","101,6147","74,62296","62,88151","54,57651","25,55029","90,42716","38,80191","126,2127","110,3296","35,9306","75,99073",,"105,497","72,03544","55,0847","97,82782","51,77473","24,1721"
"URANIA, SP","151,3541","77,39989","95,16688","33,50829","219,5776","12,77293","145,0374","123,569","78,55763","200,2188","187,8687","160,8358","94,18966","24,89996","19,2495","189,6678","205,3463","26,15658","41,48217","233,1399","70,7541","77,26046","53,69943","160,1926","37,25735","173,0563","151,6244","47,22043","138,8929","172,2179","203,0443","132,5175","10,32357","569,4753","94,41291","48,41492","62,22842","193,4536","28,57881","152,142","50,83923","30,9255","60,64388","134,3666","130,0115","88,13752","113,2572","124,3741","80,36022","116,7163","146,9452","35,37801","142,1327","198,1482","200,5453","146,4967","135,4333","39,11679","127,6966","213,267","22,65915","212,6907","16,80134","66,29754","132,3516","55,88412","305,9791","226,8568","114,9973","105,1672","25,15937","98,67041","35,25279","159,1878","104,9102","37,9085","170,2183","221,1477","25,02852","33,80355","29,70515","15,96864","22,41513","4,584957","13,91897","32,01336","42,64824","146,1233","88,1818","185,986","111,8775","25,67018","27,57563","140,3923","172,4062","105,497",,"176,3843","61,60787","17,52728","73,07804","108,7515"
"URUPES, SP","36,7248","116,8665","110,2598","185,184","52,13079","188,9724","35,6291","59,90849","140,1294","34,20776","29,69016","33,28006","94,65062","159,224","174,5727","19,20882","53,19782","153,5462","142,5823","63,17488","106,1591","103,7246","126,9518","45,49256","165,8307","14,37849","95,881","170,7319","61,20548","14,89142","27,01647","45,62588","166,9387","393,638","82,51304","150,0969","115,1408","17,75316","180,2721","29,85912","131,2125","194,6117","161,4287","48,4927","67,4754","92,33147","65,20362","53,49495","96,05594","59,93798","29,7199","194,6107","74,02692","45,14546","30,16685","65,93857","113,1762","174,35","91,21977","52,38165","176,0299","57,46955","181,6205","124,679","130,3613","135,6636","130,8896","66,16669","68,66797","71,46088","153,4448","120,7035","190,5477","19,47091","141,2181","211,3439","26,49549","50,65931","197,9398","209,9314","202,6528","188,6983","198,6177","180,0111","173,4285","144,7008","134,1688","44,15578","89,09943","37,65195","74,09164","198,0177","177,287","44,29989","30,55859","72,03544","176,3843",,"119,5417","166,766","111,4287","80,6095"
"VALENTIM GENTIL, SP","101,09","21,71502","39,06526","82,98816","159,2497","73,08304","85,88237","62,99104","41,9344","140,2243","127,5967","100,2993","32,75558","54,49126","55,59173","130,7793","144,0702","35,95713","23,094","172,9548","28,80539","42,71874","38,04768","98,8181","46,73037","114,1986","93,24562","53,4296","77,29242","118,0799","145,3031","74,13223","51,32542","512,961","44,41241","32,68826","28,57087","135,7077","76,8999","99,45153","11,74205","75,19882","49,21662","74,27916","68,40421","47,43718","54,44069","66,10193","30,45529","62,98197","89,85084","90,05854","81,01973","137,0791","146,3946","85,00026","81,29112","55,47561","68,37301","152,3866","70,55573","151,4445","63,04323","15,16587","83,88184","19,36474","250,4163","165,7375","69,68013","48,96115","45,68862","47,97845","71,03116","101,0895","64,65235","99,36189","118,651","161,2627","79,7674","95,02835","90,90549","76,58609","83,73692","65,94196","64,09314","30,79358","29,56185","85,29447","31,14358","125,0451","50,5302","86,5465","57,75635","90,62098","111,8409","55,0847","61,60787","119,5417",,"48,50166","11,91405","69,81599"
"VITORIA BRASIL, SP","144,4569","61,71819","79,03413","49,88748","207,7379","25,76363","134,002","111,4661","61,08133","188,6577","176,0695","148,7917","80,12479","32,3215","8,800207","178,8951","192,4273","13,28102","26,2559","221,4302","63,74401","72,94472","51,57215","147,1492","20,6035","162,2751","135,4563","31,51027","125,2426","163,8824","192,9992","121,8908","10,20799","560,399","86,55385","30,95704","56,33259","183,3863","44,37695","144,2929","36,94949","29,23781","43,61841","122,6686","116,2239","82,81794","102,2817","113,7644","71,89726","108,056","137,0751","52,74455","127,3212","185,5285","192,3289","132,1857","118,5357","24,66707","111,9862","200,8705","37,77119","199,8142","14,86894","50,61333","114,9728","39,54958","297,2873","214,1581","109,2596","95,33461","27,18577","81,71468","28,77026","148,8284","87,38689","53,88243","162,9636","209,6855","31,33312","47,58256","46,24575","33,27651","36,74198","21,96865","28,52081","23,7616","37,56241","133,7958","77,68714","173,5273","98,9599","42,59238","16,05648","133,5596","160,3383","97,82782","17,52728","166,766","48,50166",,"59,17572","104,8305"
"VOTUPORANGA, SP","95,98982","13,35689","28,37014","94,8809","149,1512","84,25359","76,89412","53,24564","38,65556","130,3784","117,6227","90,26105","21,11396","66,33964","65,69743","121,5861","133,2954","47,13204","33,05285","162,9128","33,19977","46,91921","47,50046","88,01842","54,55557","105,1229","81,42849","59,46292","66,08817","111,1604","136,5958","65,80289","62,7612","504,1582","42,28434","38,69497","35,92865","127,0526","88,79906","93,42062","22,34468","84,59203","52,15469","64,79341","57,10094","48,90727","46,33708","58,02379","30,63221","57,57798","81,9712","101,9713","69,2246","126,5035","139,1898","73,41907","70,2515","62,96166","56,50187","141,9319","82,46809","140,6888","73,36542","14,11745","74,11988","24,25816","242,2315","155,0763","67,57005","42,92436","57,57921","38,8091","79,65097","92,53602","57,81231","110,931","112,7391","151,4187","90,16621","106,2419","102,5337","88,25524","95,02166","77,47484","75,97466","42,66532","40,88741","75,10663","26,286","114,6019","40,04739","98,218","66,89245","85,97023","101,7273","51,77473","73,07804","111,4287","11,91405","59,17572",,"69,91671"
"ZACARIAS, SP","46,91819","82,37814","89,70713","109,1389","131,8521","121,4098","64,10565","60,31527","108,553","112,5912","103,2661","82,93224","69,44928","86,87223","113,5909","98,5224","126,4454","92,22891","87,70365","143,6332","42,7287","31,90038","55,07102","90,47318","112,3859","84,13509","118,8239","121,2858","81,72488","71,17552","106,9388","53,30472","101,2301","464,9664","28,60364","101,5037","48,68129","98,21292","105,0559","51,1906","78,26211","134,0309","118,9867","62,43012","78,11214","22,80936","47,95698","49,05625","39,65577","32,26478","57,65538","118,9394","95,42924","117,9169","97,44682","92,88507","120,9103","121,1126","97,72938","129,7252","102,1287","132,629","118,922","82,9539","132,0557","89,13381","201,9633","144,14","12,95463","38,60016","83,68378","102,8327","132,8863","70,13329","124,7381","138,8164","65,6249","131,0624","133,1456","139,9348","130,4343","117,6878","129,276","111,3547","101,9069","81,09347","67,40415","74,67651","45,64796","106,3001","62,97357","125,8897","119,1747","36,8936","92,1931","24,1721","108,7515","80,6095","69,81599","104,8305","69,91671",
