Codigo;Fem - 50 a 69;% Fem - 50 a 69;Total;DRS
351500;26692;18,49%;4936;DRS 1
351510;7106;20,08%;1427;DRS 1
351512;383;23,97%;92;DRS 11
351515;1472;14,39%;212;DRS 10
351518;5578;24,48%;1366;DRS 14
351519;503;20,18%;102;DRS 9
351520;1036;24,78%;257;DRS 15
351530;295;22,18%;66;DRS 11
351535;1014;22,24%;226;DRS 11
351540;1959;23,54%;462;DRS 6
351550;9294;26,11%;2427;DRS 15
351560;696;23,71%;166;DRS 15
351565;182;21,44%;40;DRS 9
351570;19230;18,83%;3622;DRS 1
351580;190;27,82%;53;DRS 11
351590;466;32,05%;150;DRS 15
351600;1317;21,97%;290;DRS 9
351610;371;27,71%;103;DRS 9
351620;40697;22,12%;9003;DRS 8
351630;16222;17,98%;2917;DRS 1
351640;13982;17,95%;2510;DRS 1
351650;417;30,26%;127;DRS 2
351660;785;24,32%;191;DRS 9
351670;5393;23,62%;1274;DRS 9
351680;427;21,08%;91;DRS 15
351685;463;19,24%;90;DRS 3
351690;1463;26,94%;395;DRS 15
351700;1106;21,55%;239;DRS 6
351710;525;21,72%;115;DRS 2
351720;1268;20,90%;266;DRS 6
351730;639;22,09%;142;DRS 9
351740;4733;22,63%;1072;DRS 5
351750;2443;22,45%;549;DRS 15
351760;1878;22,57%;424;DRS 16
351770;2066;19,27%;399;DRS 8
351780;1105;26,59%;294;DRS 2
351790;1107;20,08%;223;DRS 5
351800;259;24,39%;64;DRS 15
351810;709;21,17%;151;DRS 9
351820;4232;25,09%;1062;DRS 2
351830;3271;21,53%;705;DRS 1
351840;15531;24,27%;3770;DRS 17
351850;1198;20,21%;243;DRS 16
351860;3758;18,66%;702;DRS 13
351870;34769;20,79%;7229;DRS 4
351880;144096;19,95%;28748;DRS 1
351885;769;20,42%;158;DRS 13
351890;589;22,65%;134;DRS 2
351900;1075;22,45%;242;DRS 9
351905;1641;21,17%;348;DRS 7
351907;23218;20,07%;4660;DRS 7
351910;1182;21,11%;250;DRS 6
351920;835;27,29%;228;DRS 9
351925;414;18,55%;77;DRS 6
351930;3261;19,01%;620;DRS 3
351940;1398;22,51%;315;DRS 15
351950;805;20,67%;167;DRS 9
351960;6725;21,89%;1473;DRS 3
351970;8345;21,16%;1766;DRS 16
351980;825;20,29%;168;DRS 15
351990;974;23,71%;231;DRS 11
352000;2842;22,78%;648;DRS 6
352010;3306;21,62%;715;DRS 8
352020;1125;23,64%;266;DRS 17
352030;3681;23,64%;871;DRS 12
352040;3300;18,23%;602;DRS 17
352042;1850;30,96%;573;DRS 12
352044;3735;27,04%;1010;DRS 2
352050;27518;21,08%;5801;DRS 7
352060;592;24,49%;145;DRS 11
352070;556;27,94%;156;DRS 15
352080;455;22,51%;103;DRS 9
352090;1497;20,35%;305;DRS 9
352100;3176;17,75%;564;DRS 16
352110;660;17,63%;117;DRS 10
352115;691;24,89%;172;DRS 15
352120;383;18,55%;72;DRS 12
352130;1480;18,11%;269;DRS 8
352140;2578;20,68%;534;DRS 10
352150;816;21,78%;178;DRS 15
352160;769;26,66%;206;DRS 11
352170;2012;23,37%;471;DRS 16
352180;2439;20,03%;489;DRS 6
352190;1998;26,45%;529;DRS 15
352200;332;18,15%;61;DRS 6
352210;13379;24,54%;3284;DRS 4
352215;367;23,13%;85;DRS 16
352220;16526;18,69%;3089;DRS 1
352230;16964;20,40%;3461;DRS 16
352240;9683;20,14%;1951;DRS 16
352250;21061;16,98%;3577;DRS 1
352260;9280;24,19%;2245;DRS 14
