,"ARUJA, SP","BARUERI, SP","BIRITIBA-MIRIM, SP","CAIEIRAS, SP","CAJAMAR, SP","CARAPICUIBA, SP","COTIA, SP","DIADEMA, SP","EMBU DAS ARTES, SP","EMBU-GUACU, SP","FERRAZ DE VASCONCELOS, SP","FRANCISCO MORATO, SP","FRANCO DA ROCHA, SP","GUARAREMA, SP","GUARULHOS, SP","ITAPECERICA DA SERRA, SP","ITAPEVI, SP","ITAQUAQUECETUBA, SP","JANDIRA, SP","JUQUITIBA, SP","MAIRIPORA, SP","MAUA, SP","MOGI DAS CRUZES, SP","OSASCO, SP","PIRAPORA DO BOM JESUS, SP","POA, SP","RIBEIRAO PIRES, SP","RIO GRANDE DA SERRA, SP","SALESOPOLIS, SP","SANTA ISABEL, SP","SANTANA DE PARNAIBA, SP","SANTO ANDRE, SP","SAO BERNARDO DO CAMPO, SP","SAO CAETANO DO SUL, SP","SAO LOURENCO DA SERRA, SP","SAO PAULO, SP","SUZANO, SP","TABOAO DA SERRA, SP","VARGEM GRANDE PAULISTA, SP"
"FRANCO DA ROCHA, SP","42,19315","25,13573","74,62655","4,281494","15,80675","24,22788","36,00003","40,03434","37,44963","56,04308","42,85687","6,030785",,"70,75378","25,04006","44,48475","32,10489","41,27355","28,243","75,25019","14,17876","45,71451","58,30239","23,15758","29,31741","44,26966","52,63599","56,46726","92,30647","50,87819","23,23883","40,78257","45,18788","35,51835","61,88113","25,85891","48,24133","31,44125","42,37651"
"GUARAREMA, SP","28,64387","86,35579","17,3243","72,83879","86,00668","82,91515","92,41743","66,47813","87,23066","91,9004","36,8451","73,74925","70,75378",,"50,41466","89,4199","92,74977","32,76189","89,18882","120,0743","57,07864","51,58585","19,96246","78,12674","98,61579","33,67534","50,82723","51,79572","23,36187","21,97114","89,88111","56,65479","61,68781","58,83451","104,5269","62,70007","31,34856","78,83001","102,6017"
"GUARULHOS, SP","22,88998","35,94466","51,00937","25,28429","37,76403","32,55557","42,69584","25,49677","38,82697","49,89531","17,96335","30,27364","25,04006","50,41466",,"42,93619","42,44448","18,03918","38,81041","75,65444","17,5639","23,0869","34,78303","27,8976","49,14288","19,76044","29,50651","33,36406","69,91293","34,83366","39,82717","20,57115","26,73176","17,34832","60,25917","14,1762","23,66993","30,24606","52,5389"
"ITAPECERICA DA SERRA, SP","64,91226","23,0288","84,10048","40,44465","40,13861","21,52184","14,46275","23,67035","7,551389","13,10103","52,57587","49,43877","44,48475","89,4199","42,93619",,"20,58882","57,45746","21,6571","32,83276","51,69166","39,92372","70,36972","21,33003","38,78582","55,74882","44,27586","46,19374","104,4377","77,33565","31,00673","33,54008","30,46548","30,59638","17,89251","28,76019","58,25186","13,69815","21,96355"
"ITAPEVI, SP","65,19601","7,196466","91,21492","27,85758","22,1279","9,925198","6,281845","35,18462","13,88066","33,57608","57,4841","35,3338","32,10489","92,74977","42,44448","20,58882",,"60,04349","3,979223","44,72548","43,69706","49,93399","75,74089","14,63398","18,2035","60,23575","55,96986","58,86702","111,0534","76,55927","11,67288","43,02026","42,89306","38,07759","33,76402","30,68314","63,62046","17,29093","10,59264"
"ITAQUAQUECETUBA, SP","9,427441","53,77873","33,40124","42,40259","55,31548","50,25765","59,66662","35,70282","54,70407","61,64936","7,535844","45,5921","41,27355","32,76189","18,03918","57,45746","60,04349",,"56,54093","89,17711","29,66558","24,01256","17,06209","45,41047","67,10402","5,521972","27,09382","30,07566","51,90489","21,4432","57,8652","26,6991","32,82143","27,34432","73,54765","29,97894","8,530978","46,21784","69,84095"
"JANDIRA, SP","61,47646","3,217386","88,05736","23,9801","19,23283","6,284416","8,555462","33,36023","14,34105","34,75742","54,24466","31,67186","28,243","89,18882","38,81041","21,6571","3,979223","56,54093",,"47,97603","39,71804","47,49445","72,44005","11,27579","17,77889","56,92689","53,73526","56,7797","107,7837","72,73926","9,37576","40,62056","41,01241","35,48481","36,29009","27,54123","60,38739","15,62114","14,56728"
"JUQUITIBA, SP","97,15741","50,70163","112,4853","71,00275","66,83326","51,03208","39,56158","53,70334","38,43656","28,33223","83,53666","79,38984","75,25019","120,0743","75,65444","32,83276","44,72548","89,17711","47,97603",,"84,06662","68,73825","100,3969","52,6765","59,68241","86,76988","71,15258","71,80668","132,6485","109,6793","56,26787","63,42833","58,58838","61,83936","15,63028","61,49488","88,7412","46,31868","37,2242"
"MAIRIPORA, SP","28,83047","36,50066","62,33501","17,30875","29,97463","34,47743","46,37215","40,32192","45,63504","61,45463","33,05784","16,69372","14,17876","57,07864","17,5639","51,69166","43,69706","29,66558","39,71804","84,06662",,"40,63637","46,21696","31,62346","43,40766","33,67813","47,05668","50,90674","79,1427","36,76735","36,52117","37,55373","43,28549","33,38361","69,58038","26,13808","37,56265","37,99366","54,27117"
"MAUA, SP","33,39777","45,71498","44,2851","44,49913","54,62423","41,81941","47,17064","16,27969","39,95199","40,43839","16,73768","51,54879","45,71451","51,58585","23,0869","39,92372","49,93399","24,01256","47,49445","68,73825","40,63637",,"31,72779","36,82555","62,79343","19,75862","6,966724","10,75684","64,62406","45,33427","52,58164","6,921462","10,1525","12,12484","53,34035","21,74719","20,64354","32,9445","57,66491"
