Código,Cidade,DRS
351535,EUCLIDES DA CUNHA PAULISTA,DRS 11
351540,FARTURA,DRS 6
351550,FERNANDOPOLIS,DRS 15
351560,FERNANDO PRESTES,DRS 15
351565,FERNAO,DRS 9
351570,FERRAZ DE VASCONCELOS,DRS 1
351580,FLORA RICA,DRS 11
351590,FLOREAL,DRS 15
351600,FLORIDA PAULISTA,DRS 9
351610,FLORINIA,DRS 9
351620,FRANCA,DRS 8
351630,FRANCISCO MORATO,DRS 1
351640,FRANCO DA ROCHA,DRS 1
351650,GABRIEL MONTEIRO,DRS 2
351660,GALIA,DRS 9
351670,GARCA,DRS 9
351680,GASTAO VIDIGAL,DRS 15
351685,GAVIAO PEIXOTO,DRS 3
351690,GENERAL SALGADO,DRS 15
351700,GETULINA,DRS 6
351710,GLICERIO,DRS 2
351720,GUAICARA,DRS 6
351730,GUAIMBE,DRS 9
351740,GUAIRA,DRS 5
351750,GUAPIACU,DRS 15
351760,GUAPIARA,DRS 16
351770,GUARA,DRS 8
351780,GUARACAI,DRS 2
351790,GUARACI,DRS 5
351800,GUARANI D'OESTE,DRS 15
351810,GUARANTA,DRS 9
351820,GUARARAPES,DRS 2
351830,GUARAREMA,DRS 1
351840,GUARATINGUETA,DRS 17
351850,GUAREI,DRS 16
351860,GUARIBA,DRS 13
351870,GUARUJA,DRS 4
351880,GUARULHOS,DRS 1
351885,GUATAPARA,DRS 13
351890,GUZOLANDIA,DRS 2
351900,HERCULANDIA,DRS 9
351905,HOLAMBRA,DRS 7
351907,HORTOLANDIA,DRS 7
351910,IACANGA,DRS 6
351920,IACRI,DRS 9
351925,IARAS,DRS 6
351930,IBATE,DRS 3
351940,IBIRA,DRS 15
351950,IBIRAREMA,DRS 9
351960,IBITINGA,DRS 3
351970,IBIUNA,DRS 16
351980,ICEM,DRS 15
351990,IEPE,DRS 11
352000,IGARACU DO TIETE,DRS 6
352010,IGARAPAVA,DRS 8
352020,IGARATA,DRS 17
352030,IGUAPE,DRS 12
352040,ILHABELA,DRS 17
352042,ILHA COMPRIDA,DRS 12
352044,ILHA SOLTEIRA,DRS 2
352050,INDAIATUBA,DRS 7
352060,INDIANA,DRS 11
352070,INDIAPORA,DRS 15
352080,INUBIA PAULISTA,DRS 9
352090,IPAUSSU,DRS 9
352100,IPERO,DRS 16
352110,IPEUNA,DRS 10
352115,IPIGUA,DRS 15
352120,IPORANGA,DRS 12
352130,IPUA,DRS 8
352140,IRACEMAPOLIS,DRS 10
352150,IRAPUA,DRS 15
352160,IRAPURU,DRS 11
352170,ITABERA,DRS 16
352180,ITAI,DRS 6
352190,ITAJOBI,DRS 15
352200,ITAJU,DRS 6
352210,ITANHAEM,DRS 4
352215,ITAOCA,DRS 16
352220,ITAPECERICA DA SERRA,DRS 1
352230,ITAPETININGA,DRS 16
352240,ITAPEVA,DRS 16
352250,ITAPEVI,DRS 1
352260,ITAPIRA,DRS 14
352265,ITAPIRAPUA PAULISTA,DRS 16
352270,ITAPOLIS,DRS 3
352280,ITAPORANGA,DRS 6
352290,ITAPUI,DRS 6
352300,ITAPURA,DRS 2
352310,ITAQUAQUECETUBA,DRS 1
352320,ITARARE,DRS 16
352330,ITARIRI,DRS 12
352340,ITATIBA,DRS 7
352350,ITATINGA,DRS 6
352360,ITIRAPINA,DRS 10
352370,ITIRAPUA,DRS 8
352380,ITOBI,DRS 14
352390,ITU,DRS 16
352400,ITUPEVA,DRS 7
352410,ITUVERAVA,DRS 8
352420,JABORANDI,DRS 5
352430,JABOTICABAL,DRS 13
352440,JACAREI,DRS 17
352450,JACI,DRS 15
352460,JACUPIRANGA,DRS 12
352470,JAGUARIUNA,DRS 7
352480,JALES,DRS 15
352490,JAMBEIRO,DRS 17
352500,JANDIRA,DRS 1
352510,JARDINOPOLIS,DRS 13
352520,JARINU,DRS 7
352530,JAU,DRS 6
352540,JERIQUARA,DRS 8
352550,JOANOPOLIS,DRS 7
352560,JOAO RAMALHO,DRS 11
352570,JOSE BONIFACIO,DRS 15
352580,JULIO MESQUITA,DRS 9
352585,JUMIRIM,DRS 16
352590,JUNDIAI,DRS 7
352600,JUNQUEIROPOLIS,DRS 11
352610,JUQUIA,DRS 12
352620,JUQUITIBA,DRS 1
352630,LAGOINHA,DRS 17
352640,LARANJAL PAULISTA,DRS 6
352650,LAVINIA,DRS 2
352660,LAVRINHAS,DRS 17
352670,LEME,DRS 10
352680,LENCOIS PAULISTA,DRS 6
352690,LIMEIRA,DRS 10
352700,LINDOIA,DRS 7
352710,LINS,DRS 6
352720,LORENA,DRS 17
352725,LOURDES,DRS 2
352730,LOUVEIRA,DRS 7
352740,LUCELIA,DRS 9
